Dish ID,Category,Dish Name,Serving Size,Calories,Protein (g),Fat (g),Carbs (g),Fiber (g),Sugar (g),Vitamin A (µg),Vitamin C ,Calcium,Iron (mg),cost (rial),Notes
1,breakfast,Nan Taftoon-o Paneer-o Chai,100 g,250,10,10,30,2,5,0,0,150,1.5,"$80,000 ","Combination of bread, cheese, and tea; values can vary based on bread and cheese types."
2,breakfast,nan Taftoon-o Kaleh Pacheh,100 g,372,22,20.5,19.4,1,0.5,0,0,26.6,2.85,"$1,606,000 ",High in protein and fat; traditional dish made from sheep's head and trotters with soft persian bread
3,breakfast,nan Taftoon-o Halim,100 g,222,9,5.5,34.4,4,2.5,0,0,36.6,2.65,"$206,000 ",Wheat and meat porridge; nutritious and filling. with soft persian bread.
4,breakfast,nan Taftoon-o Adasi,100 g,192,10,3.5,32.4,5,2.5,0,0,46.6,3.32,"$186,000 ",Lentil soup; rich in protein and fiber. with soft persian bread.
5,breakfast,Nan Taftoon-o Omelet Irani,130 g,252,12,14.5,18.4,2,2.5,0,0,56.6,3.32,"$156,000 ",Persian tomato omelette; values based on typical preparation. with soft persian bread.
6,breakfast,Nan-o Panir-o Sabzi,100 g,200,8,8,25,3,4,0,0,120,1.2,"$90,000 ","Bread, cheese, and fresh herbs; nutritious combination."
7,breakfast,Shir Berenj,100 g,130,4,3,24,0.5,10,0,0,100,0.5,"$170,000 ",Rice pudding; sweet and creamy.
8,breakfast,Khagineh,100 g,220,6,12,24,1,15,0,0,80,1,"$350,000 ",Sweet Persian omelette; values based on typical preparation.
9,breakfast,nan Taftoon-o Morabba,130 g,272,2.5,0.7,64.4,2,45.5,0,0,21.6,1.15,"$206,000 ",Assorted jams with bread; high in sugars. with soft persian bread.
10,breakfast,nan Taftoon-o Mast-o Khiar,130 g,162,5,5.5,22.4,1.5,5.5,0,0,86.6,1.35,"$256,000 ",Yogurt with cucumbers; refreshing and light. with soft persian bread.
11,breakfast,Honey and Butter with Bread,100 g,300,4,10,50,2,25,0,0,40,1,"$400,000 ",Sweet and indulgent; high in calories.
12,breakfast,nan Taftoon-o Halva Ardeh,130 g,572,14,30.5,59.4,6,35.5,0,0,66.6,4.85,"$326,000 ",Tahini halva; rich and dense. with soft persian bread.
13,breakfast,Gheyganakh,100 g,250,10,20,5,0.5,2,0,0,50,2,"$400,000 ",Traditional egg dish; values based on typical preparation.
14,breakfast,Nan ghelefi ,100 g,280,7,5,52,2,15,0,0,30,2,"$50,000 ",Sweet saffron bread; aromatic and flavorful.
15,breakfast,Zoolbia and Bamieh,100 g,400,3,20,55,1,30,0,0,20,1,"$100,000 ",Persian sweets; deep-fried and sugary.
16,breakfast,Ash-e Sholeh Ghalamkar,100 g,150,8,6,18,4,2,0,0,40,2.5,"$150,000 ",Hearty meat and bean soup; nutritious and filling.
17,dinner,Chelo Kabab (Rice with Grilled Meat),100 g,250,15,10,20,1,1,0,0,30,2.5,"$800,000 ",Combination of rice and grilled meat; values can vary based on meat type and preparation.
18,dinner,Ghormeh Sabzi (Herb Stew with Meat and Beans),100 g,180,12,8,15,3,2,0,0,40,3,"$400,000 ",Herb stew with meat and beans; rich in protein and fiber.
19,dinner,Fesenjan (Pomegranate Walnut Stew with Chicken or Duck),100 g,350,10,25,20,2,5,0,0,50,2.5,"$600,000 ",Rich stew made with pomegranate and walnuts; high in healthy fats.
20,dinner,Zereshk Polo (Barberry Rice with Chicken),100 g,220,8,5,35,1.5,3,0,0,30,1.8,"$260,000 ",Barberry rice served with chicken; sweet and tangy flavor.
